LAST SEEN   TYPE      REASON                          OBJECT                                             MESSAGE
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-khdvn             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-khdvn             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-khdvn             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-khdvn             Started container adaptation-service
6m6s        Warning   FailedMount                     pod/adaptation-service-fc5f75457-khdvn             MountVolume.SetUp failed for volume "adaptation-service-sa-token-vhhsk" : secret "adaptation-service-sa-token-vhhsk" not found
6m6s        Normal    Killing                         pod/adaptation-service-fc5f75457-khdvn             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-kjf97             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-kjf97 to aks-icaptestnode-10971123-vmss00002h
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-kjf97             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-kjf97             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-kjf97             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-kjf97             Started container adaptation-service
6m10s       Normal    Killing                         pod/adaptation-service-fc5f75457-kjf97             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-klpkt             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-klpkt to aks-icaptestnode-10971123-vmss000019
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-klpkt             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-klpkt             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-klpkt             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-klpkt             Started container adaptation-service
6m11s       Normal    Killing                         pod/adaptation-service-fc5f75457-klpkt             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-l92hv             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-l92hv to aks-icaptestnode-10971123-vmss00000f
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-l92hv             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-l92hv             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-l92hv             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-l92hv             Started container adaptation-service
6m6s        Normal    Killing                         pod/adaptation-service-fc5f75457-l92hv             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-n72zk             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-n72zk to aks-icaptestnode-10971123-vmss00001v
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-n72zk             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-n72zk             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-n72zk             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-n72zk             Started container adaptation-service
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-n72zk             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-ncllj             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-ncllj to aks-icaptestnode-10971123-vmss00002m
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-ncllj             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-ncllj             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-ncllj             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-ncllj             Started container adaptation-service
6m9s        Normal    Killing                         pod/adaptation-service-fc5f75457-ncllj             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-nfn29             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-nfn29 to aks-icaptestnode-10971123-vmss000011
